"HospitalID","Name","latitude","longitude"
0,"MWM Headquarters",34.2139380094032,-118.445018163463
1,"Verdugo Hills Hospital",34.204529567002,-118.216023506165
2,"Barlow Respiratory Hospital - Los Angeles (Main Campus)",34.0756926772272,-118.248311626627
3,"Glendora Community Hospital",34.1273072669199,-117.865074657506
4,"Providence Little Company Of Mary Medical Center - Torrance",33.8386342175713,-118.357113056219
5,"Glendale Memorial Hospital And Health Center",34.128058406799,-118.257443036499
6,"Cedars-Sinai Medical Center",34.0762193663517,-118.38103840599
7,"Citrus Valley Health Partners - Citrus Valley Medical Center - Intercommunity Campus",34.0880210367987,-117.893412256815
8,"Greater El Monte Community Hospital",34.0477659570071,-118.043435956516
9,"California Hospital Medical Center",34.0373643265048,-118.265746295854
10,"Children's Hospital Los Angeles",34.0980187969769,-118.291012696636
11,"Long Beach Memorial Medical Center",33.808107267285,-118.186743556181
12,"Good Samaritan Hospital",34.0544638564391,-118.26505428599
13,"Barlow Respiratory Hospital At Presbyterian Intercommunity Hospital",33.9697935770968,-118.049359856517
14,"Providence Little Company Of Mary Hospital - San Pedro",33.7383614673321,-118.305043156287
15,"Barlow Hospital At Valley Presbyterian Hospital",34.1942797768857,-118.462724065782
16,"Pacifica Hospital Of The Valley",34.2401534460657,-118.39620357636
17,"Los Angeles Metropolitan Medical Center",34.0354477669002,-118.309249856246
18,"PIH Health Hospital - Whittier",33.9697942672178,-118.049255056796
19,"Providence St. John's Health Center",34.0307953463747,-118.479344095728
20,"Mission Community Hospital",34.2204257667753,-118.456548755825
21,"Valley Presbyterian Hospital",34.1948098262753,-118.463054955626
22,"Pomona Valley Hospital Medical Center",34.0770076673392,-117.751497657401
23,"Lakewood Regional Medical Center",33.859869567224,-118.148691636363
24,"Marina Del Rey Hospital",33.9819616769524,-118.439440786055
25,"Kaiser Permanente - Woodland Hills Medical Center",34.1704341765254,-118.589894926067
26,"St. Mary Medical Center - Long Beach",33.7798523670177,-118.185954855877
27,"Veterans Administration - Long Beach Healthcare System",33.7769267672683,-118.120129166465
28,"Veterans Administration Greater Los Angeles Healthcare System - West Los Angeles",34.0526682769666,-118.452529966376
29,"US Department of Veterans Affairs - Los Angeles Ambulatory Care Center",34.0520491670272,-118.238499956791
30,"Whittier Hospital Medical Center",33.9500225675988,-118.003426656975
31,"Antelope Valley Hospital",34.6880778759208,-118.158160206821
32,"Providence Saint Joseph Medical Center",34.1569220268489,-118.328140006438
33,"Henry Mayo Newhall Memorial Hospital",34.4213063656496,-118.563134596344
34,"Community Hospital of Long Beach",33.7882908175362,-118.145474646075
35,"Memorial Hospital Of Gardena",33.8929501773337,-118.29468196585
36,"West Covina Medical Center",34.0713955169814,-117.944873627104
37,"Coast Plaza Doctors Hospital",33.9124393573243,-118.098593646376
38,"East Los Angeles Doctors Hospital",34.0233909070374,-118.184546626329
39,"Huntington Memorial Hospital",34.1336389666256,-118.152753056646
40,"Beverly Hospital",34.0150154274024,-118.100636257101
41,"Providence Holy Cross Medical Center",34.2799500659354,-118.460056106043
42,"Gardens Regional Hospital Medical Center",33.8335471571319,-118.079422346332
43,"West Hills Hospital and Medical Center",34.2026985759971,-118.62857943535
44,"Los Angeles Community Hospital",34.0191019666564,-118.186366056732
45,"Community Hospital Of Huntington Park",33.9896227668975,-118.224155456492
46,"Downey Regional Medical Center",33.934306067172,-118.130987656181
47,"Garfield Medical Center",34.0678946666288,-118.123804356092
48,"Torrance Memorial Medical Center",33.811915667118,-118.343494556126
49,"Methodist Hospital Of Southern California",34.1340216671103,-118.042151256968
50,"Kindred Hospital - San Gabriel Valley",34.0870679671129,-117.91724605724
51,"Los Angeles Orthopaedic Hospital",34.0279139673501,-118.273457256684
