"StationID","CustomerID","Time","Distance"
1,1,1844,2371
1,2,2974,3816
1,3,1817,2338
1,4,999,1222
1,5,2873,3694
1,6,1908,2445
1,7,1897,2412
1,8,2653,3371
1,9,1714,2197
1,10,2834,3555
1,11,1268,1598
1,12,3020,3816
1,13,382,498
1,14,1819,2344
1,15,2878,3634
1,16,2073,2619
1,17,2652,3345
1,18,1333,1679
1,19,894,1087
1,20,1514,1961
1,21,1892,2435
1,22,1084,1357
1,23,2821,3549
1,24,1653,2123
1,25,1176,1618
1,26,2156,2727
1,27,3005,3767
1,28,1639,2092
1,29,1892,2439
1,30,1840,2345
1,31,1622,2087
1,32,1105,1519
1,33,1740,2238
1,34,2877,3699
1,35,529,662
1,36,1493,1918
1,37,1870,2408
1,38,519,713
1,39,1628,2087
1,40,2721,3416
1,41,2812,3521
1,42,1888,2416
1,43,1985,2534
1,44,3005,3801
1,45,2847,3581
1,46,672,818
1,47,1517,1948
1,48,1708,2195
1,49,2895,3622
1,50,1921,2507
1,51,2623,3325
1,52,4097,5087
1,53,1741,2186
1,54,1824,2347
1,55,1597,2131
1,56,1338,1779
1,57,1477,1908
1,58,1267,1597
1,59,1438,1812
1,60,2448,3096
1,61,2795,3510
1,62,1784,2295
1,63,2638,3313
1,64,1822,2349
1,65,1305,1640
1,66,2584,3278
1,67,1632,2113
1,68,1729,2222
1,69,446,556
1,70,1538,1986
1,71,1677,2130
1,72,1782,2236
1,73,1791,2314
1,74,1582,2012
1,75,1952,2512
1,76,3003,3776
1,77,513,665
1,78,1106,1399
1,79,2718,3402
1,80,2586,3331
1,81,2865,3588
1,82,1165,1463
1,83,2819,3548
1,84,1787,2300
1,85,1252,1710
1,86,2919,3653
1,87,1745,2241
1,88,562,719
1,89,1524,1938
1,90,669,842
1,91,1703,2190
1,92,1503,1903
1,93,1948,2444
1,94,1713,2296
1,95,1742,2249
1,96,2586,3281
1,97,2844,3652
1,98,1641,2193
1,99,1658,2123
1,100,1643,2113
1,101,1299,1582
1,102,309,400
1,103,9,13
1,104,2692,3384
1,105,3022,3822
1,106,1410,1784
1,107,1430,1814
1,108,792,960
1,109,421,580
1,110,2616,3313
1,111,1761,2269
1,112,1237,1693
1,113,2776,3486
1,114,2842,3555
1,115,2762,3466
1,116,1599,2043
1,117,2980,3750
1,118,1864,2371
1,119,956,1310
1,120,2428,3107
1,121,1230,1560
1,122,1013,1405
1,123,2512,3156
1,124,1930,2477
1,125,322,419
1,126,1892,2435
1,127,853,1117
1,128,2809,3613
1,129,1853,2388
1,130,659,805
1,131,551,731
1,132,832,1041
1,133,1829,2329
1,134,1866,2403
1,135,2800,3525
1,136,2567,3219
1,137,1930,2484
1,138,1265,1602
1,139,1840,2341
1,140,1894,2425
1,141,2781,3573
1,142,1753,2180
1,143,1960,2525
1,144,2499,3186
1,145,960,1310
1,146,1264,1728
1,147,1032,1430
1,148,1854,2372
1,149,1787,2300
1,150,985,1176
1,151,409,563
1,152,2863,3596
1,153,1833,2363
1,154,2523,3210
1,155,2822,3552
1,156,1878,2401
1,157,2925,3680
1,158,1989,2558
1,159,1855,2367
1,160,2008,2587
1,161,1215,1664
1,162,2503,3190
1,163,1793,2308
1,164,1719,2311
1,165,3113,3915
1,166,3465,4360
1,167,639,850
1,168,1854,2356
1,169,1766,2217
1,170,2791,3507
1,171,2676,3363
1,172,1631,2082
1,173,2709,3401
1,174,1922,2479
1,175,1763,2215
1,176,3047,3842
1,177,1413,1810
1,178,1061,1320
1,179,2007,2586
1,180,2009,2588
1,181,2607,3357
1,182,1848,2335
1,183,2942,3714
1,184,2695,3384
1,185,962,1185
1,186,1215,1523
1,187,1766,2262
1,188,2281,2866
1,189,1948,2444
1,190,1565,2086
1,191,752,969
1,192,2583,3249
1,193,2660,3330
1,194,1091,1370
1,195,273,360
1,196,2727,3426
1,197,1826,2347
1,198,2223,2730
1,199,2904,3732
1,200,1950,2505
1,201,1249,1572
1,202,452,570
1,203,2729,3436
1,204,2900,3627
1,205,1919,2476
1,206,1230,1670
